attack_cat,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
Analysis,6e-06,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,3,3,3,7,0,0,0,3,7,0
Analysis,0.705416,10,8,828,1058,24.099254,62,252,8460.255859,10501.60449,2,2,78.273,93.09057,4557.976053,175.97925,255,2738155303,512845337,255,0.1384,0.053773,0.084627,83,132,1,127,2,1,1,1,1,2,0,0,1,4,2,0
Analysis,1.204037,10,8,832,1100,14.119168,62,252,4976.591309,6398.474609,2,2,133.781889,145.585281,7722.095489,283.5345,255,508805832,2193366564,255,0.283347,0.159696,0.123651,83,138,1,129,4,1,1,1,1,3,0,0,1,1,3,0
Analysis,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,3,3,3,11,0,0,0,3,10,0
Analysis,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,2,6,0
Backdoor,1e-06,2,0,200,0,1000000.003,254,0,800000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,2,5,0
Backdoor,59.30122,196,0,53312,0,3.288297,254,0,7155.333496,0.0,0,0,304.108656,0.0,357.462031,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,2,2,1,1,1,2,0,0,0,2,2,0
Backdoor,59.21376,96,0,26112,0,1.604357,254,0,3491.080322,0.0,0,0,646.310625,0.0,834.247875,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,6,1,1,1,1,0,0,0,1,1,0
Backdoor,1e-06,2,0,200,0,1000000.003,254,0,800000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0
Backdoor,0.41849,12,10,1150,1114,50.180411,62,252,20167.74609,19173.69531,3,3,38.044547,45.152445,1879.156018,60.026203,255,3035402487,508484140,255,0.058905,0.011379,0.047526,96,111,1,3,1,1,1,1,1,1,0,0,1,1,1,0
Backdoor,0.068938,4,2,228,91,72.528937,254,60,19843.91797,5338.129883,0,0,3.87,0.008,5.460279,0.0,0,0,0,0,0.0,0.0,0.0,57,46,0,0,2,0,1,1,1,1,0,0,0,1,1,0
Backdoor,0.23472,4,2,536,440,21.301976,254,60,13701.43066,7498.29541,0,0,78.24,0.004,110.638172,0.0,0,0,0,0,0.0,0.0,0.0,134,220,0,0,1,0,1,1,1,1,0,0,0,2,1,0
Backdoor,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,2,2,2,7,0,0,0,11,7,0
Backdoor,42.793449,42,0,2184,0,0.958091,254,0,398.565674,0.0,0,0,1043.742625,0.0,1236.527125,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0
Backdoor,4.598935,82,0,5248,0,17.612773,254,0,9017.739258,0.0,0,0,56.776977,0.0,161.878984,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,2,13,1,1,1,0,0,0,1,1,0
Backdoor,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,4,3,3,4,0,0,0,3,4,0
Backdoor,3e-06,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,1,1,4,0,0,0,2,4,0
Backdoor,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,1,1,1,5,0,0,0,2,5,0
Backdoor,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,3,3,3,3,0,0,0,3,3,0
Backdoor,0.648682,10,8,450,374,26.206986,254,252,4994.743164,4045.125244,1,2,72.060667,87.045,4368.215793,121.352,255,1939236917,1401681808,255,0.085154,0.039364,0.04579,45,47,0,0,2,1,2,1,1,2,0,0,0,1,5,0
Backdoor,3e-06,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0
Backdoor,3e-06,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,3,2,2,4,0,0,0,5,3,0
Backdoor,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,2,5,0
Backdoor,1e-06,2,0,200,0,1000000.003,254,0,800000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,1,1,4,0,0,0,3,3,0
Backdoor,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,4,3,3,8,0,0,0,4,6,0
Backdoor,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,3,0,0,0,4,3,0
Backdoor,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,3,5,0
Backdoor,0.616494,10,10,462,530,30.81944,254,252,5398.268066,6189.841309,2,3,68.499333,66.817109,4192.983872,115.255977,255,544903099,620048979,255,0.046029,0.008568,0.037461,46,53,0,0,1,1,1,1,1,1,0,0,0,1,1,0
Backdoor,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,3,4,0
Backdoor,0.711421,2,2,76,134,4.216912,254,60,427.313782,753.421631,0,0,0.009,0.003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,38,67,0,0,1,0,2,1,1,1,0,0,0,1,4,0
Backdoor,5e-06,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,2,4,0
Backdoor,30.693087,20,0,1280,0,0.619032,254,0,316.944336,0.0,0,0,1615.425625,0.0,1884.148125,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0
Backdoor,2e-06,2,0,200,0,500000.0013,254,0,400000000.0,0.0,0,0,0.002,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,2,5,0
Backdoor,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,3,2,2,5,0,0,0,2,5,0
Backdoor,4e-06,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,3,0,0,0,3,3,0
Backdoor,0.830025,12,8,600,404,22.890876,254,252,5301.044922,3411.945312,3,2,71.358088,111.392289,3838.424095,156.214828,255,384534222,1267038563,255,0.133497,0.050273,0.083224,50,51,0,0,4,1,1,1,1,1,0,0,0,1,1,0
Backdoor,6e-06,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,2,4,0
Backdoor,1e-05,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,2,2,2,7,0,0,0,3,7,0
Backdoor,1e-05,2,0,152,0,100000.0025,254,0,60800000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,76,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0
Backdoor,0.4471,10,8,472,564,38.022813,254,252,7604.5625,8839.185547,2,2,49.677778,55.89343,2395.842321,77.466359,255,3241670849,821909052,255,0.094974,0.054962,0.040012,47,71,0,0,1,1,1,1,1,1,0,0,0,1,1,0
Backdoor,0.219511,10,8,472,564,77.444865,254,252,15488.97266,18003.6543,2,2,24.390111,27.390285,1372.203859,49.259012,255,3946740497,2358327248,255,0.030817,0.016798,0.014019,47,71,0,0,1,1,1,1,1,1,0,0,0,1,1,0
Backdoor,1e-06,2,0,200,0,1000000.003,254,0,800000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,2,4,0
Backdoor,58.737652,34,0,3672,0,0.56182,254,0,485.412659,0.0,0,0,1779.929,0.0,1999.1395,0.0,0,0,0,0,0.0,0.0,0.0,108,0,0,0,2,2,1,2,1,1,0,0,0,2,1,0
Backdoor,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,2,4,0
Backdoor,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,3,3,3,5,0,0,0,3,5,0
Backdoor,5e-06,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,2,3,0
Backdoor,0.537963,10,8,468,3230,31.600688,254,252,6275.524902,42040.06641,2,2,59.773667,74.48,4527.99279,172.089562,255,438676611,3221148524,255,0.02957,0.00871,0.02086,47,404,0,0,1,1,1,1,1,1,0,0,0,1,1,0
Backdoor,5e-06,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,2,2,2,7,0,0,0,4,7,0
Backdoor,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,1,1,1,6,0,0,0,1,6,0
Backdoor,1.708218,24,46,7060,43418,40.392971,254,252,31686.82227,198920.75,9,21,74.224132,36.956088,3625.897175,2575.169303,255,4151803473,1930315769,255,0.091668,0.045191,0.046477,294,944,1,55,2,1,2,2,1,1,0,0,1,2,2,0
Backdoor,0.221624,8,8,364,390,67.6822,254,252,11514.99805,12345.2334,1,2,31.660571,26.309143,1695.081396,39.532254,255,3271638654,401716713,255,0.058356,0.01291,0.045446,46,49,0,0,1,1,1,1,1,1,0,0,0,9,2,0
Backdoor,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0
Backdoor,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,3,0,0,0,2,3,0
Backdoor,7e-06,2,0,200,0,142857.1409,254,0,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,3,3,3,5,0,0,0,3,5,0
Backdoor,6e-06,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,5,5,0
Backdoor,3e-06,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,1,1,1,5,0,0,0,1,5,0
Backdoor,0.683165,8,8,364,560,21.956628,254,252,3735.554199,5737.998535,1,2,97.595,88.817,6679.181011,184.573187,255,2193698175,3361097667,255,0.10298,0.052825,0.050155,46,70,0,0,1,1,1,1,1,1,0,0,0,18,1,0
DoS,57.889004,60,0,16320,0,1.019192,254,0,2217.761475,0.0,0,0,1010.394563,0.0,1226.7735,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,6,1,1,1,1,0,0,0,2,1,0
DoS,3e-06,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,3,3,3,6,0,0,0,3,6,0
DoS,3e-06,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,3,3,3,4,0,0,0,3,4,0
DoS,0.352176,10,8,764,1544,48.271317,62,252,15628.54883,30689.19922,2,2,39.130667,48.426,2098.610208,65.45698,255,1621009509,1631675710,255,0.052161,0.01243,0.039731,76,193,1,364,1,1,29,1,1,1,0,0,1,1,1,0
DoS,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,2,5,0
